TransactionNo,Items,DateTime,Daypart,DayType,User,Rating,overview
1,Bread,2016-10-30 09:58:11,Morning,Weekend,Gloria,3,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
2,Scandinavian,2016-10-30 10:05:34,Morning,Weekend,Louise,5,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
2,Scandinavian,2016-10-30 10:05:34,Morning,Weekend,Daniel,5,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
3,Hot chocolate,2016-10-30 10:07:57,Morning,Weekend,Shannon,4,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows."
3,Jam,2016-10-30 10:07:57,Morning,Weekend,Manuel,3,"A sweet spread made from fruits, commonly used in cake fillings, adding fruity flavors and moisture."
3,Cookies,2016-10-30 10:07:57,Morning,Weekend,Drew,0,"Bite-sized baked treats with endless variations, from chewy chocolate chip to delicate shortbread."
4,Muffin,2016-10-30 10:08:41,Morning,Weekend,Karla,2,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
5,Coffee,2016-10-30 10:13:03,Morning,Weekend,Megan,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
5,Pastry,2016-10-30 10:13:03,Morning,Weekend,Roger,3,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats."
5,Bread,2016-10-30 10:13:03,Morning,Weekend,Virginia,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
6,Medialuna,2016-10-30 10:16:55,Morning,Weekend,Lauren,2,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
6,Pastry,2016-10-30 10:16:55,Morning,Weekend,Vernon,2,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats."
6,Muffin,2016-10-30 10:16:55,Morning,Weekend,Ricky,5,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
7,Medialuna,2016-10-30 10:19:12,Morning,Weekend,Becky,1,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
7,Pastry,2016-10-30 10:19:12,Morning,Weekend,Marvin,2,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats."
7,Coffee,2016-10-30 10:19:12,Morning,Weekend,Raymond,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
7,Tea,2016-10-30 10:19:12,Morning,Weekend,Jackson,0,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
8,Pastry,2016-10-30 10:20:51,Morning,Weekend,Alicia,5,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats."
8,Bread,2016-10-30 10:20:51,Morning,Weekend,Sheila,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
9,Bread,2016-10-30 10:21:59,Morning,Weekend,Brenda,3,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
9,Muffin,2016-10-30 10:21:59,Morning,Weekend,Stefan,0,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
10,Scandinavian,2016-10-30 10:25:58,Morning,Weekend,Shaun,4,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
10,Medialuna,2016-10-30 10:25:58,Morning,Weekend,Jack,3,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
11,Bread,2016-10-30 10:27:21,Morning,Weekend,Harry,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
11,Medialuna,2016-10-30 10:27:21,Morning,Weekend,Joanna,3,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
11,Bread,2016-10-30 10:27:21,Morning,Weekend,Shawn,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
12,Jam,2016-10-30 10:30:14,Morning,Weekend,Eddie,4,"A sweet spread made from fruits, commonly used in cake fillings, adding fruity flavors and moisture."
12,Coffee,2016-10-30 10:30:14,Morning,Weekend,Daisy,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
12,Tartine,2016-10-30 10:30:14,Morning,Weekend,Caleb,5,"Open-faced sandwiches or cakes topped with various spreads, fruits, or vegetables, often served as a light meal or snack."
12,Pastry,2016-10-30 10:30:14,Morning,Weekend,Abigail,1,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats."
12,Tea,2016-10-30 10:30:14,Morning,Weekend,Derek,0,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
13,Basket,2016-10-30 10:31:24,Morning,Weekend,Alan,0,"Edible baskets made from cake or pastry dough, filled with fruits, creams, or other confections."
13,Bread,2016-10-30 10:31:24,Morning,Weekend,Florence,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
13,Coffee,2016-10-30 10:31:24,Morning,Weekend,Irene,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
14,Bread,2016-10-30 10:32:46,Morning,Weekend,Marcus,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
14,Medialuna,2016-10-30 10:32:46,Morning,Weekend,Cecilia,0,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
14,Pastry,2016-10-30 10:32:46,Morning,Weekend,Rachel,5,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats."
15,Mineral water,2016-10-30 10:34:36,Morning,Weekend,Mitchell,0,A refreshing beverage often served alongside cakes to cleanse the palate and provide hydration.
